username,repo_name,stars,repo_url
mrdoob,three.js,https://github.com/mrdoob/three.js,71500
libgdx,libgdx,https://github.com/libgdx/libgdx,18500
BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js,14100
pmndrs,react-three-fiber,https://github.com/pmndrs/react-three-fiber,13500
aframevr,aframe,https://github.com/aframevr/aframe,12800
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,10800
lettier,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,10400
FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,9400
metafizzy,zdog,https://github.com/metafizzy/zdog,8500
CesiumGS,cesium,https://github.com/CesiumGS/cesium,7100
a1studmuffin,SpaceshipGenerator,https://github.com/a1studmuffin/SpaceshipGenerator,6800
timzhang642,3D-Machine-Learning,https://github.com/timzhang642/3D-Machine-Learning,6700
intel-isl,Open3D,https://github.com/intel-isl/Open3D,4500
spritejs,spritejs,https://github.com/spritejs/spritejs,4500
tensorspace-team,tensorspace,https://github.com/tensorspace-team/tensorspace,4400
jagenjo,webglstudio.js,https://github.com/jagenjo/webglstudio.js,4400
AaronJackson,vrn,https://github.com/AaronJackson/vrn,4300
YadiraF,PRNet,https://github.com/YadiraF/PRNet,4300
openscad,openscad,https://github.com/openscad/openscad,4100
domlysz,BlenderGIS,https://github.com/domlysz/BlenderGIS,3900
ssloy,tinyraytracer,https://github.com/ssloy/tinyraytracer,3800
mosra,magnum,https://github.com/mosra/magnum,3500
gfxfundamentals,webgl-fundamentals,https://github.com/gfxfundamentals/webgl-fundamentals,3000
cleardusk,3DDFA,https://github.com/cleardusk/3DDFA,3000
google,model-viewer,https://github.com/google/model-viewer,3000
jasonlong,isometric-contributions,https://github.com/jasonlong/isometric-contributions,2900
blender,blender,https://github.com/blender/blender,2700
antvis,L7,https://github.com/antvis/L7,2300
pissang,claygl,https://github.com/pissang/claygl,2200
cnr-isti-vclab,meshlab,https://github.com/cnr-isti-vclab/meshlab,2200
