username,repo_name,stars,repo_url
public-apis,public-apis,https://github.com/public-apis/public-apis,127000
httpie,httpie,https://github.com/httpie/httpie,51000
neovim,neovim,https://github.com/neovim/neovim,44100
strapi,strapi,https://github.com/strapi/strapi,37000
slatedocs,slate,https://github.com/slatedocs/slate,32700
tiangolo,fastapi,https://github.com/tiangolo/fastapi,31800
hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,29300
littlecodersh,ItChat,https://github.com/littlecodersh/ItChat,21500
encode,django-rest-framework,https://github.com/encode/django-rest-framework,21100
YMFE,yapi,https://github.com/YMFE/yapi,21100
paularmstrong,normalizr,https://github.com/paularmstrong/normalizr,20200
Binaryify,NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,20200
ccxt,ccxt,https://github.com/ccxt/ccxt,19800
FallibleInc,security-guide-for-developers,https://github.com/FallibleInc/security-guide-for-developers,19700
microsoft,api-guidelines,https://github.com/microsoft/api-guidelines,17200
Kong,insomnia,https://github.com/Kong/insomnia,16500
shieldfy,API-Security-Checklist,https://github.com/shieldfy/API-Security-Checklist,15700
learn-anything,learn-anything,https://github.com/learn-anything/learn-anything,13000
youfou,wxpy,https://github.com/youfou/wxpy,12800
BrainJS,brain.js,https://github.com/BrainJS/brain.js,12000
jsdoc,jsdoc,https://github.com/jsdoc/jsdoc,12000
directus,directus,https://github.com/directus/directus,11000
ChainSafe,web3.js,https://github.com/ChainSafe/web3.js,10500
graphile,postgraphile,https://github.com/graphile/postgraphile,10300
postmanlabs,httpbin,https://github.com/postmanlabs/httpbin,9900
go-chi,chi,https://github.com/go-chi/chi,9500
ruby-grape,grape,https://github.com/ruby-grape/grape,9300
star7th,showdoc,https://github.com/star7th/showdoc,9000
zealdocs,zeal,https://github.com/zealdocs/zeal,8800
OpenAPITools,openapi-generator,https://github.com/OpenAPITools/openapi-generator,8700
