username,repo_name,stars,repo_url
jwasham,coding-interview-university,https://github.com/jwasham/coding-interview-university,175000
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,131000
trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,109000
TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,109000
yangshun,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,54700
kdn251,interviews,https://github.com/kdn251/interviews,51600
azl397985856,leetcode,https://github.com/azl397985856/leetcode,42300
algorithm-visualizer,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,33800
crossoverJie,JCSprout,https://github.com/crossoverJie/JCSprout,26100
donnemartin,interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,22700
keon,algorithms,https://github.com/keon/algorithms,19300
huihut,interview,https://github.com/huihut/interview,18900
halfrost,LeetCode-Go,https://github.com/halfrost/LeetCode-Go,18200
trekhleb,homemade-machine-learning,https://github.com/trekhleb/homemade-machine-learning,17700
mxgmn,WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse,16200
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,13000
OpenGenus,cosmos,https://github.com/OpenGenus/cosmos,12600
AtsushiSakai,PythonRobotics,https://github.com/AtsushiSakai/PythonRobotics,12400
greyireland,algorithm-pattern,https://github.com/greyireland/algorithm-pattern,12000
TheAlgorithms,Javascript,https://github.com/TheAlgorithms/Javascript,11200
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,11100
apachecn,apachecn-algo-zh,https://github.com/apachecn/apachecn-algo-zh,10300
williamfiset,Algorithms,https://github.com/williamfiset/Algorithms,9900
halfrost,Halfrost-Field,https://github.com/halfrost/Halfrost-Field,9000
lnishan,awesome-competitive-programming,https://github.com/lnishan/awesome-competitive-programming,8400
Blankj,awesome-java-leetcode,https://github.com/Blankj/awesome-java-leetcode,8100
jeffgerickson,algorithms,https://github.com/jeffgerickson/algorithms,7200
mgechev,javascript-algorithms,https://github.com/mgechev/javascript-algorithms,6800
LeetCode-OpenSource,vscode-leetcode,https://github.com/LeetCode-OpenSource/vscode-leetcode,6600
OlafenwaMoses,ImageAI,https://github.com/OlafenwaMoses/ImageAI,6200
