username,repo_name,stars,repo_url
serverless,serverless,https://github.com/serverless/serverless,39900
localstack,localstack,https://github.com/localstack/localstack,30500
donnemartin,data-science-ipython-notebooks,https://github.com/donnemartin/data-science-ipython-notebooks,21200
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,11600
aws,aws-cli,https://github.com/aws/aws-cli,11100
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,10700
donnemartin,awesome-aws,https://github.com/donnemartin/awesome-aws,9300
pulumi,pulumi,https://github.com/pulumi/pulumi,8800
apereo,cas,https://github.com/apereo/cas,8700
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,8500
apex,up,https://github.com/apex/up,8200
aws-amplify,amplify-js,https://github.com/aws-amplify/amplify-js,8100
aws,chalice,https://github.com/aws/chalice,8000
aws,serverless-application-model,https://github.com/aws/serverless-application-model,8000
google,go-cloud,https://github.com/google/go-cloud,7800
mozilla,sops,https://github.com/mozilla/sops,7600
cortexlabs,cortex,https://github.com/cortexlabs/cortex,7500
caprover,caprover,https://github.com/caprover/caprover,7200
aws,aws-sdk-go,https://github.com/aws/aws-sdk-go,6900
aws,aws-cdk,https://github.com/aws/aws-cdk,6800
aws,aws-sdk-js,https://github.com/aws/aws-sdk-js,6600
boto,boto3,https://github.com/boto/boto3,6400
angristan,openvpn-install,https://github.com/angristan/openvpn-install,6400
awslabs,aws-shell,https://github.com/awslabs/aws-shell,6100
hashicorp,terraform-provider-aws,https://github.com/hashicorp/terraform-provider-aws,5900
aws,amazon-sagemaker-examples,https://github.com/aws/amazon-sagemaker-examples,5600
aws,aws-sam-cli,https://github.com/aws/aws-sam-cli,5600
donnemartin,dev-setup,https://github.com/donnemartin/dev-setup,5400
gruntwork-io,terratest,https://github.com/gruntwork-io/terratest,5300
gruntwork-io,terragrunt,https://github.com/gruntwork-io/terragrunt,5000
