username,repo_name,stars,repo_url
flutter,flutter,https://github.com/flutter/flutter,122000
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,80300
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,49400
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,44400
google,material-design-icons,https://github.com/google/material-design-icons,43000
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,40600
square,okhttp,https://github.com/square/okhttp,40100
android,architecture-samples,https://github.com/android/architecture-samples,38800
square,retrofit,https://github.com/square/retrofit,38200
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,35900
PhilJay,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,33400
fastlane,fastlane,https://github.com/fastlane/fastlane,32400
shadowsocks,shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,31500
bumptech,glide,https://github.com/bumptech/glide,31300
airbnb,lottie-android,https://github.com/airbnb/lottie-android,31200
Trinea,android-open-project,https://github.com/Trinea/android-open-project,30600
Blankj,AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,29400
xitu,gold-miner,https://github.com/xitu/gold-miner,29000
bilibili,ijkplayer,https://github.com/bilibili/ijkplayer,28900
zxing,zxing,https://github.com/zxing/zxing,27800
codepath,android_guides,https://github.com/codepath/android_guides,27400
square,leakcanary,https://github.com/square/leakcanary,26200
skylot,jadx,https://github.com/skylot/jadx,26100
laurent22,joplin,https://github.com/laurent22/joplin,23600
alibaba,fastjson,https://github.com/alibaba/fastjson,23400
scwang90,SmartRefreshLayout,https://github.com/scwang90/SmartRefreshLayout,22600
CymChad,BaseRecyclerViewAdapterHelper,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,21900
react-native-elements,react-native-elements,https://github.com/react-native-elements/react-native-elements,20700
google,iosched,https://github.com/google/iosched,20500
NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,20200
