username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,80300
angular,angular,https://github.com/angular/angular,73700
storybookjs,storybook,https://github.com/storybookjs/storybook,62300
ionic-team,ionic-framework,https://github.com/ionic-team/ionic-framework,44500
leonardomso,33-js-concepts,https://github.com/leonardomso/33-js-concepts,40500
prettier,prettier,https://github.com/prettier/prettier,39800
SheetJS,sheetjs,https://github.com/SheetJS/sheetjs,25700
angular,angular-cli,https://github.com/angular/angular-cli,24600
angular,components,https://github.com/angular/components,21500
NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,20200
jhipster,generator-jhipster,https://github.com/jhipster/generator-jhipster,18500
Eugeny,terminus,https://github.com/Eugeny/terminus,18000
handsontable,handsontable,https://github.com/handsontable/handsontable,15200
teambit,bit,https://github.com/teambit/bit,13500
sweetalert2,sweetalert2,https://github.com/sweetalert2/sweetalert2,13000
linnovate,mean,https://github.com/linnovate/mean,12100
goldbergyoni,javascript-testing-best-practices,https://github.com/goldbergyoni/javascript-testing-best-practices,11500
coreui,coreui-free-bootstrap-admin-template,https://github.com/coreui/coreui-free-bootstrap-admin-template,10800
codesandbox,codesandbox-client,https://github.com/codesandbox/codesandbox-client,10600
PatrickJS,angular-starter,https://github.com/PatrickJS/angular-starter,10400
Chocobozzz,PeerTube,https://github.com/Chocobozzz/PeerTube,9400
angular,protractor,https://github.com/angular/protractor,8700
OnsenUI,OnsenUI,https://github.com/OnsenUI/OnsenUI,8400
text-mask,text-mask,https://github.com/text-mask/text-mask,8000
PatrickJS,awesome-angular,https://github.com/PatrickJS/awesome-angular,7900
ng-bootstrap,ng-bootstrap,https://github.com/ng-bootstrap/ng-bootstrap,7800
NG-ZORRO,ng-zorro-antd,https://github.com/NG-ZORRO/ng-zorro-antd,7500
nrwl,nx,https://github.com/nrwl/nx,7400
ag-grid,ag-grid,https://github.com/ag-grid/ag-grid,7300
rematch,rematch,https://github.com/rematch/rematch,7200
