username,repo_name,stars,repo_url
arendst,Tasmota,https://github.com/arendst/Tasmota,15300
rwaldron,johnny-five,https://github.com/rwaldron/johnny-five,12200
arduino,Arduino,https://github.com/arduino/Arduino,11800
MarlinFirmware,Marlin,https://github.com/MarlinFirmware/Marlin,11200
SpacehuhnTech,esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,8500
tinygo-org,tinygo,https://github.com/tinygo-org/tinygo,8100
hybridgroup,gobot,https://github.com/hybridgroup/gobot,7200
gurugio,lowlevelprogramming-university,https://github.com/gurugio/lowlevelprogramming-university,6800
espressif,arduino-esp32,https://github.com/espressif/arduino-esp32,6800
bblanchon,ArduinoJson,https://github.com/bblanchon/ArduinoJson,5200
platformio,platformio-core,https://github.com/platformio/platformio-core,5100
tzapu,WiFiManager,https://github.com/tzapu/WiFiManager,4600
hybridgroup,cylon,https://github.com/hybridgroup/cylon,3800
Arduino-IRremote,Arduino-IRremote,https://github.com/Arduino-IRremote/Arduino-IRremote,3300
blynkkk,blynk-library,https://github.com/blynkkk/blynk-library,3100
NectarJS,nectarjs,https://github.com/NectarJS/nectarjs,2900
arduino,arduino-cli,https://github.com/arduino/arduino-cli,2900
gioblu,PJON,https://github.com/gioblu/PJON,2600
blynkkk,blynk-server,https://github.com/blynkkk/blynk-server,2200
1technophile,OpenMQTTGateway,https://github.com/1technophile/OpenMQTTGateway,2200
scottlawsonbc,audio-reactive-led-strip,https://github.com/scottlawsonbc/audio-reactive-led-strip,2000
intel-isl,OpenBot,https://github.com/intel-isl/OpenBot,1800
Serial-Studio,Serial-Studio,https://github.com/Serial-Studio/Serial-Studio,1800
crankyoldgit,IRremoteESP8266,https://github.com/crankyoldgit/IRremoteESP8266,1800
scottbez1,splitflap,https://github.com/scottbez1/splitflap,1700
nRF24,RF24,https://github.com/nRF24/RF24,1700
stm32duino,Arduino_Core_STM32,https://github.com/stm32duino/Arduino_Core_STM32,1500
ThingPulse,esp8266-oled-ssd1306,https://github.com/ThingPulse/esp8266-oled-ssd1306,1500
Bodmer,TFT_eSPI,https://github.com/Bodmer/TFT_eSPI,1300
blinker-iot,blinker-library,https://github.com/blinker-iot/blinker-library,1300
