username,repo_name,stars,repo_url
atom,atom,https://github.com/atom/atom,55200.0
dracula,dracula-theme,https://github.com/dracula/dracula-theme,15700.0
mjswensen,themer,https://github.com/mjswensen/themer,4200.0
nteract,hydrogen,https://github.com/nteract/hydrogen,3700.0
shd101wyy,markdown-preview-enhanced,https://github.com/shd101wyy/markdown-preview-enhanced,3200.0
miniflux,v2,https://github.com/miniflux/v2,2900.0
atom,teletype,https://github.com/atom/teletype,2300.0
mehcode,awesome-atom,https://github.com/mehcode/awesome-atom,1800.0
mmcdole,gofeed,https://github.com/mmcdole/gofeed,1600.0
joefitzgerald,go-plus,https://github.com/joefitzgerald/go-plus,1500.0
Glavin001,atom-beautify,https://github.com/Glavin001/atom-beautify,1500.0
t9md,atom-vim-mode-plus,https://github.com/t9md/atom-vim-mode-plus,1400.0
simplepie,simplepie,https://github.com/simplepie/simplepie,1400.0
ocaml,merlin,https://github.com/ocaml/merlin,1300.0
MagicStack,MagicPython,https://github.com/MagicStack/MagicPython,1300.0
kurtmckee,feedparser,https://github.com/kurtmckee/feedparser,1200.0
atom,apm,https://github.com/atom/apm,1200.0
file-icons,atom,https://github.com/file-icons/atom,1100.0
kettanaito,atomic-layout,https://github.com/kettanaito/atomic-layout,
danhper,atomic-chrome,https://github.com/danhper/atomic-chrome,
nmdias,FeedKit,https://github.com/nmdias/FeedKit,
atom,github,https://github.com/atom/github,
nathanbuchar,atom-one-dark-terminal,https://github.com/nathanbuchar/atom-one-dark-terminal,
jesseweed,seti-ui,https://github.com/jesseweed/seti-ui,
prettier,prettier-atom,https://github.com/prettier/prettier-atom,
raphamorim,lucario,https://github.com/raphamorim/lucario,
atom-community,atom-script,https://github.com/atom-community/atom-script,
fwcd,kotlin-language-server,https://github.com/fwcd/kotlin-language-server,
jasonmunro,cypht,https://github.com/jasonmunro/cypht,
jekyll,jekyll-feed,https://github.com/jekyll/jekyll-feed,
