username,repo_name,stars,repo_url
sindresorhus,awesome,https://github.com/sindresorhus/awesome,162000
vinta,awesome-python,https://github.com/vinta/awesome-python,99200
avelino,awesome-go,https://github.com/avelino/awesome-go,64800
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,59400
papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,46200
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,44400
521xueweihan,HelloGitHub,https://github.com/521xueweihan/HelloGitHub,42900
jaywcjlove,awesome-mac,https://github.com/jaywcjlove/awesome-mac,42200
sindresorhus,awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,41300
DopplerHQ,awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,41000
trimstray,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,40700
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,40600
vsouza,awesome-ios,https://github.com/vsouza/awesome-ios,37600
prakhar1989,awesome-courses,https://github.com/prakhar1989/awesome-courses,37200
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,35900
binhnguyennus,awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,32400
tiimgreen,github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,31700
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,31700
MunGell,awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,31600
dypsilon,frontend-dev-bookmarks,https://github.com/dypsilon/frontend-dev-bookmarks,31300
akullpp,awesome-java,https://github.com/akullpp/awesome-java,28800
dkhamsing,open-source-ios-apps,https://github.com/dkhamsing/open-source-ios-apps,27400
brillout,awesome-react-components,https://github.com/brillout/awesome-react-components,27100
serhii-londar,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,26000
ziadoz,awesome-php,https://github.com/ziadoz/awesome-php,25300
herrbischoff,awesome-macos-command-line,https://github.com/herrbischoff/awesome-macos-command-line,25200
goabstract,Awesome-Design-Tools,https://github.com/goabstract/Awesome-Design-Tools,23000
sindresorhus,awesome-electron,https://github.com/sindresorhus/awesome-electron,21600
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,21500
matteocrippa,awesome-swift,https://github.com/matteocrippa/awesome-swift,20800
