username,repo_name,stars,repo_url
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,11600
Azure,azure-quickstart-templates,https://github.com/Azure/azure-quickstart-templates,10400
microsoft,recommenders,https://github.com/microsoft/recommenders,10100
pulumi,pulumi,https://github.com/pulumi/pulumi,8800
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,8500
google,go-cloud,https://github.com/google/go-cloud,7800
microsoft,computervision-recipes,https://github.com/microsoft/computervision-recipes,7800
mozilla,sops,https://github.com/mozilla/sops,7600
caprover,caprover,https://github.com/caprover/caprover,7200
microsoft,azuredatastudio,https://github.com/microsoft/azuredatastudio,6400
node-formidable,formidable,https://github.com/node-formidable/formidable,5900
midwayjs,midway,https://github.com/midwayjs/midway,4300
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,3800
cloud-custodian,cloud-custodian,https://github.com/cloud-custodian/cloud-custodian,3600
budtmo,docker-android,https://github.com/budtmo/docker-android,3400
simov,grant,https://github.com/simov/grant,3300
nccgroup,ScoutSuite,https://github.com/nccgroup/ScoutSuite,3200
infracost,infracost,https://github.com/infracost/infracost,3100
Qovery,engine,https://github.com/Qovery/engine,3000
tfsec,tfsec,https://github.com/tfsec/tfsec,2800
bridgecrewio,checkov,https://github.com/bridgecrewio/checkov,2800
terraform-providers,terraform-provider-azurerm,https://github.com/terraform-providers/terraform-provider-azurerm,2600
Azure,azure-powershell,https://github.com/Azure/azure-powershell,2600
mlabouardy,komiser,https://github.com/mlabouardy/komiser,2600
Azure,azure-cli,https://github.com/Azure/azure-cli,2400
APIs-guru,openapi-directory,https://github.com/APIs-guru/openapi-directory,2400
Azure,azure-sdk-for-net,https://github.com/Azure/azure-sdk-for-net,2400
Azure,mmlspark,https://github.com/Azure/mmlspark,2300
Azure,MachineLearningNotebooks,https://github.com/Azure/MachineLearningNotebooks,2300
smartstore,SmartStoreNET,https://github.com/smartstore/SmartStoreNET,2200
