username,repo_name,stars,repo_url
babel,babel,https://github.com/babel/babel,39200
nylas,nylas-mail,https://github.com/nylas/nylas-mail,24600
kriasoft,react-starter-kit,https://github.com/kriasoft/react-starter-kit,20700
avajs,ava,https://github.com/avajs/ava,19100
electron-react-boilerplate,electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,17700
SimulatedGREG,electron-vue,https://github.com/SimulatedGREG/electron-vue,14100
grab,front-end-guide,https://github.com/grab/front-end-guide,13700
swc-project,swc,https://github.com/swc-project/swc,12300
jamiebuilds,babel-handbook,https://github.com/jamiebuilds/babel-handbook,10000
grommet,grommet,https://github.com/grommet/grommet,7300
developit,htm,https://github.com/developit/htm,6800
angular-fullstack,generator-angular-fullstack,https://github.com/angular-fullstack/generator-angular-fullstack,6100
documentationjs,documentation,https://github.com/documentationjs/documentation,5400
insin,nwb,https://github.com/insin/nwb,5300
thinkjs,thinkjs,https://github.com/thinkjs/thinkjs,5200
egoist,poi,https://github.com/egoist/poi,5200
babel,babel-loader,https://github.com/babel/babel-loader,4500
jaredpalmer,backpack,https://github.com/jaredpalmer/backpack,4400
transitive-bullshit,create-react-library,https://github.com/transitive-bullshit/create-react-library,4300
babel,minify,https://github.com/babel/minify,4300
duxianwei520,react,https://github.com/duxianwei520/react,4200
ben-rogerson,twin.macro,https://github.com/ben-rogerson/twin.macro,4200
fkling,astexplorer,https://github.com/fkling/astexplorer,3900
kriasoft,graphql-starter,https://github.com/kriasoft/graphql-starter,3200
tleunen,babel-plugin-module-resolver,https://github.com/tleunen/babel-plugin-module-resolver,3000
andywer,webpack-blocks,https://github.com/andywer/webpack-blocks,3000
babel,babel-eslint,https://github.com/babel/babel-eslint,3000
kunalkapadia,express-mongoose-es6-rest-api,https://github.com/kunalkapadia/express-mongoose-es6-rest-api,2700
uidotdev,react-course,https://github.com/uidotdev/react-course,2400
Atyantik,react-pwa,https://github.com/Atyantik/react-pwa,2400
