username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,90200
nvm-sh,nvm,https://github.com/nvm-sh/nvm,49200
junegunn,fzf,https://github.com/junegunn/fzf,37100
dylanaraps,pure-bash-bible,https://github.com/dylanaraps/pure-bash-bible,27100
mathiasbynens,dotfiles,https://github.com/mathiasbynens/dotfiles,26500
koalaman,shellcheck,https://github.com/koalaman/shellcheck,25000
acmesh-official,acme.sh,https://github.com/acmesh-official/acme.sh,22300
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,21500
LeCoupa,awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,20400
starship,starship,https://github.com/starship/starship,17100
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,16100
Nyr,openvpn-install,https://github.com/Nyr/openvpn-install,13300
powerline,powerline,https://github.com/powerline/powerline,12600
shelljs,shelljs,https://github.com/shelljs/shelljs,12500
Bash-it,bash-it,https://github.com/Bash-it/bash-it,12300
dylanaraps,neofetch,https://github.com/dylanaraps/neofetch,11800
faressoft,terminalizer,https://github.com/faressoft/terminalizer,11600
jessfraz,dockerfiles,https://github.com/jessfraz/dockerfiles,11000
denisidoro,navi,https://github.com/denisidoro/navi,9300
rgcr,m-cli,https://github.com/rgcr/m-cli,8400
alexanderepstein,Bash-Snippets,https://github.com/alexanderepstein/Bash-Snippets,8300
codota,TabNine,https://github.com/codota/TabNine,8200
kanaka,mal,https://github.com/kanaka/mal,7900
direnv,direnv,https://github.com/direnv/direnv,7500
skywind3000,awesome-cheatsheets,https://github.com/skywind3000/awesome-cheatsheets,7200
angristan,openvpn-install,https://github.com/angristan/openvpn-install,6400
enquirer,enquirer,https://github.com/enquirer/enquirer,6000
Mayccoll,Gogh,https://github.com/Mayccoll/Gogh,5900
webpro,awesome-dotfiles,https://github.com/webpro/awesome-dotfiles,5800
b-ryan,powerline-shell,https://github.com/b-ryan/powerline-shell,5600
