username,repo_name,stars,repo_url
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,54500
ccxt,ccxt,https://github.com/ccxt/ccxt,19800
HelloZeroNet,ZeroNet,https://github.com/HelloZeroNet/ZeroNet,16800
askmike,gekko,https://github.com/askmike/gekko,9700
freqtrade,freqtrade,https://github.com/freqtrade/freqtrade,8800
bbfamily,abu,https://github.com/bbfamily/abu,8000
lbryio,lbry-sdk,https://github.com/lbryio/lbry-sdk,7200
dvf,blockchain,https://github.com/dvf/blockchain,5800
yeasy,blockchain_guide,https://github.com/yeasy/blockchain_guide,5600
butor,blackbird,https://github.com/butor/blackbird,5300
lightningnetwork,lnd,https://github.com/lightningnetwork/lnd,5000
spesmilo,electrum,https://github.com/spesmilo/electrum,5000
btcsuite,btcd,https://github.com/btcsuite/btcd,4300
bitcoinjs,bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib,4200
bitcoinj,bitcoinj,https://github.com/bitcoinj/bitcoinj,4000
bisq-network,bisq,https://github.com/bisq-network/bisq,3600
michaelgrosner,tribeca,https://github.com/michaelgrosner/tribeca,3500
Scanate,EthList,https://github.com/Scanate/EthList,3400
RomelTorres,alpha_vantage,https://github.com/RomelTorres/alpha_vantage,3400
Zheaoli,awesome-coins,https://github.com/Zheaoli/awesome-coins,3300
coinpride,CryptoList,https://github.com/coinpride/CryptoList,3300
bitpay,wallet,https://github.com/bitpay/wallet,3200
SqueezerIO,squeezer,https://github.com/SqueezerIO/squeezer,3200
CryptoSignal,Crypto-Signal,https://github.com/CryptoSignal/Crypto-Signal,3100
Jeiwan,blockchain_go,https://github.com/Jeiwan/blockchain_go,2900
lbryio,lbrycrd,https://github.com/lbryio/lbrycrd,2800
btcpayserver,btcpayserver,https://github.com/btcpayserver/btcpayserver,2700
jesse-ai,jesse,https://github.com/jesse-ai/jesse,2600
bcoin-org,bcoin,https://github.com/bcoin-org/bcoin,2500
bitcoin-wallet,bitcoin-wallet,https://github.com/bitcoin-wallet/bitcoin-wallet,2500
