username,repo_name,stars,repo_url
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,131000
tuvtran,project-based-learning,https://github.com/tuvtran/project-based-learning,50800
azl397985856,leetcode,https://github.com/azl397985856/leetcode,42300
x64dbg,x64dbg,https://github.com/x64dbg/x64dbg,36800
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,31700
microsoft,calculator,https://github.com/microsoft/calculator,22100
CMU-Perceptual-Computing-Lab,openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,21100
huihut,interview,https://github.com/huihut/interview,18900
yuzu-emu,yuzu,https://github.com/yuzu-emu/yuzu,14800
changkun,modern-cpp-tutorial,https://github.com/changkun/modern-cpp-tutorial,13400
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,13000
microsoft,vcpkg,https://github.com/microsoft/vcpkg,12900
facebook,infer,https://github.com/facebook/infer,12300
AnthonyCalandra,modern-cpp-features,https://github.com/AnthonyCalandra/modern-cpp-features,11900
gabime,spdlog,https://github.com/gabime/spdlog,11700
CoatiSoftware,Sourcetrail,https://github.com/CoatiSoftware/Sourcetrail,11500
google,tink,https://github.com/google/tink,11300
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,11100
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,10800
Qv2ray,Qv2ray,https://github.com/Qv2ray/Qv2ray,10700
ethereum,solidity,https://github.com/ethereum/solidity,10600
SFTtech,openage,https://github.com/SFTtech/openage,10300
antlr,antlr4,https://github.com/antlr/antlr4,10000
kyleneideck,BackgroundMusic,https://github.com/kyleneideck/BackgroundMusic,9600
OpenRCT2,OpenRCT2,https://github.com/OpenRCT2/OpenRCT2,9500
compiler-explorer,compiler-explorer,https://github.com/compiler-explorer/compiler-explorer,8700
hmemcpy,milewski-ctfp-pdf,https://github.com/hmemcpy/milewski-ctfp-pdf,8500
codota,TabNine,https://github.com/codota/TabNine,8200
nasa,fprime,https://github.com/nasa/fprime,8100
rigtorp,awesome-modern-cpp,https://github.com/rigtorp/awesome-modern-cpp,8000
