username,repo_name,stars,repo_url
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,49400
neovim,neovim,https://github.com/neovim/neovim,44100
git,git,https://github.com/git/git,38200
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,31700
obsproject,obs-studio,https://github.com/obsproject/obs-studio,29300
serhii-londar,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,26000
FFmpeg,FFmpeg,https://github.com/FFmpeg/FFmpeg,25000
vim,vim,https://github.com/vim/vim,23900
ggreer,the_silver_searcher,https://github.com/ggreer/the_silver_searcher,22100
curl,curl,https://github.com/curl/curl,20900
huihut,interview,https://github.com/huihut/interview,18900
ruby,ruby,https://github.com/ruby/ruby,18200
google,flatbuffers,https://github.com/google/flatbuffers,16300
oracle,graal,https://github.com/oracle/graal,15300
mpv-player,mpv,https://github.com/mpv-player/mpv,15200
pbatard,rufus,https://github.com/pbatard/rufus,14900
radareorg,radare2,https://github.com/radareorg/radare2,14500
shadowsocks,shadowsocks-libev,https://github.com/shadowsocks/shadowsocks-libev,14400
vurtun,nuklear,https://github.com/vurtun/nuklear,13300
allinurl,goaccess,https://github.com/allinurl/goaccess,13300
microsoft,vcpkg,https://github.com/microsoft/vcpkg,12900
facebook,infer,https://github.com/facebook/infer,12300
jarun,nnn,https://github.com/jarun/nnn,11600
kovidgoyal,kitty,https://github.com/kovidgoyal/kitty,11500
CoatiSoftware,Sourcetrail,https://github.com/CoatiSoftware/Sourcetrail,11500
s-matyukevich,raspberry-pi-os,https://github.com/s-matyukevich/raspberry-pi-os,10300
jonas,tig,https://github.com/jonas/tig,10100
hashcat,hashcat,https://github.com/hashcat/hashcat,10000
qmk,qmk_firmware,https://github.com/qmk/qmk_firmware,9700
TheAlgorithms,C,https://github.com/TheAlgorithms/C,9500
