username,repo_name,stars,repo_url
CSSEGISandData,COVID-19,https://github.com/CSSEGISandData/COVID-19,26700.0
covid19india,covid19india-react,https://github.com/covid19india/covid19india-react,6500.0
nytimes,covid-19-data,https://github.com/nytimes/covid-19-data,6400.0
tokyo-metropolitan-gov,covid19,https://github.com/tokyo-metropolitan-gov/covid19,6200.0
pcm-dpc,COVID-19,https://github.com/pcm-dpc/COVID-19,3800.0
owid,covid-19-data,https://github.com/owid/covid-19-data,3700.0
ieee8023,covid-chestxray-dataset,https://github.com/ieee8023/covid-chestxray-dataset,2600.0
WorldHealthOrganization,app,https://github.com/WorldHealthOrganization/app,2100.0
geohot,corona,https://github.com/geohot/corona,1900.0
ahmadawais,corona-cli,https://github.com/ahmadawais/corona-cli,1700.0
corona-warn-app,cwa-server,https://github.com/corona-warn-app/cwa-server,1700.0
ExpDev07,coronavirus-tracker-api,https://github.com/ExpDev07/coronavirus-tracker-api,1500.0
mhdhejazi,CoronaTracker,https://github.com/mhdhejazi/CoronaTracker,1400.0
soroushchehresa,awesome-coronavirus,https://github.com/soroushchehresa/awesome-coronavirus,1400.0
neherlab,covid19_scenarios,https://github.com/neherlab/covid19_scenarios,1400.0
github,covid19-dashboard,https://github.com/github/covid19-dashboard,1300.0
pomber,covid19,https://github.com/pomber/covid19,1200.0
FoldingAtHome,coronavirus,https://github.com/FoldingAtHome/coronavirus,1100.0
datasets,covid-19,https://github.com/datasets/covid-19,1100.0
chrismattmann,tika-python,https://github.com/chrismattmann/tika-python,1000.0
lindawangg,COVID-Net,https://github.com/lindawangg/COVID-Net,
ImperialCollegeLondon,covid19model,https://github.com/ImperialCollegeLondon/covid19model,
cyberman54,ESP32-Paxcounter,https://github.com/cyberman54/ESP32-Paxcounter,
chandrikadeb7,Face-Mask-Detection,https://github.com/chandrikadeb7/Face-Mask-Detection,
UCSD-AI4H,COVID-CT,https://github.com/UCSD-AI4H/COVID-CT,
makers-for-life,makair,https://github.com/makers-for-life/makair,
globalcitizen,2019-wuhan-coronavirus-data,https://github.com/globalcitizen/2019-wuhan-coronavirus-data,
neuml,paperai,https://github.com/neuml/paperai,
pallupz,covid-vaccine-booking,https://github.com/pallupz/covid-vaccine-booking,
javieraviles,covidAPI,https://github.com/javieraviles/covidAPI,
