username,repo_name,stars,repo_url
electron,electron,https://github.com/electron/electron,92100
FiloSottile,mkcert,https://github.com/FiloSottile/mkcert,30300
microsoft,playwright,https://github.com/microsoft/playwright,24400
ovity,octotree,https://github.com/ovity/octotree,21300
segmentio,nightmare,https://github.com/segmentio/nightmare,18900
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,16100
iamadamdev,bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,15700
prisma-archive,chromeless,https://github.com/prisma-archive/chromeless,13200
checkly,headless-recorder,https://github.com/checkly/headless-recorder,13000
google,WebFundamentals,https://github.com/google/WebFundamentals,12100
casesandberg,react-color,https://github.com/casesandberg/react-color,9700
GoogleChrome,chrome-extensions-samples,https://github.com/GoogleChrome/chrome-extensions-samples,8300
uBlock-LLC,uBlock,https://github.com/uBlock-LLC/uBlock,8000
crimx,ext-saladict,https://github.com/crimx/ext-saladict,7400
alvarcarto,url-to-pdf-api,https://github.com/alvarcarto/url-to-pdf-api,6400
chromedp,chromedp,https://github.com/chromedp/chromedp,6300
kangvcar,InfoSpider,https://github.com/kangvcar/InfoSpider,5600
yujiosaka,headless-chrome-crawler,https://github.com/yujiosaka/headless-chrome-crawler,5000
MetaMask,metamask-extension,https://github.com/MetaMask/metamask-extension,5000
Kenshin,simpread,https://github.com/Kenshin/simpread,4700
firefox-devtools,debugger,https://github.com/firefox-devtools/debugger,4600
MontFerret,ferret,https://github.com/MontFerret/ferret,4500
burtonator,polar-bookshelf,https://github.com/burtonator/polar-bookshelf,4300
nieweidong,fetool,https://github.com/nieweidong/fetool,4300
mjswensen,themer,https://github.com/mjswensen/themer,4200
brookhong,Surfingkeys,https://github.com/brookhong/Surfingkeys,3500
bilibili-helper,bilibili-helper-o,https://github.com/bilibili-helper/bilibili-helper-o,3500
melonjs,melonJS,https://github.com/melonjs/melonJS,3400
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,3300
lmk123,crx-selection-translate,https://github.com/lmk123/crx-selection-translate,3300
