username,repo_name,stars,repo_url
metabase,metabase,https://github.com/metabase/metabase,25000
eclipse,deeplearning4j,https://github.com/eclipse/deeplearning4j,12100
LightTable,LightTable,https://github.com/LightTable/LightTable,11600
lk-geimfari,awesomo,https://github.com/lk-geimfari/awesomo,7900
kanaka,mal,https://github.com/kanaka/mal,7900
penpot,penpot,https://github.com/penpot/penpot,4400
reagent-project,reagent,https://github.com/reagent-project/reagent,4200
tonsky,datascript,https://github.com/tonsky/datascript,4200
logseq,logseq,https://github.com/logseq/logseq,4100
riemann,riemann,https://github.com/riemann/riemann,4000
weavejester,compojure,https://github.com/weavejester/compojure,3900
bbatsov,clojure-style-guide,https://github.com/bbatsov/clojure-style-guide,3600
izhangzhihao,intellij-rainbow-brackets,https://github.com/izhangzhihao/intellij-rainbow-brackets,3500
ring-clojure,ring,https://github.com/ring-clojure/ring,3300
clojure-emacs,cider,https://github.com/clojure-emacs/cider,3100
status-im,status-react,https://github.com/status-im/status-react,3100
bhauman,lein-figwheel,https://github.com/bhauman/lein-figwheel,2900
tallesl,Rich-Hickey-fanclub,https://github.com/tallesl/Rich-Hickey-fanclub,2700
viebel,klipse,https://github.com/viebel/klipse,2600
twosigma,beakerx,https://github.com/twosigma/beakerx,2500
pedestal,pedestal,https://github.com/pedestal/pedestal,2400
weavejester,hiccup,https://github.com/weavejester/hiccup,2300
http-kit,http-kit,https://github.com/http-kit/http-kit,2200
razum2um,awesome-clojure,https://github.com/razum2um/awesome-clojure,2200
babashka,babashka,https://github.com/babashka/babashka,2000
onyx-platform,onyx,https://github.com/onyx-platform/onyx,2000
anmonteiro,lumo,https://github.com/anmonteiro/lumo,1800
boot-clj,boot,https://github.com/boot-clj/boot,1700
defold,defold,https://github.com/defold/defold,1700
ptaoussanis,sente,https://github.com/ptaoussanis/sente,1600
