username,repo_name,stars,repo_url
facebook,infer,https://github.com/facebook/infer,12300.0
analysis-tools-dev,static-analysis,https://github.com/analysis-tools-dev/static-analysis,8600.0
checkstyle,checkstyle,https://github.com/checkstyle/checkstyle,6000.0
SonarSource,sonarqube,https://github.com/SonarSource/sonarqube,5800.0
facebook,pyre-check,https://github.com/facebook/pyre-check,5400.0
Kristories,awesome-guidelines,https://github.com/Kristories/awesome-guidelines,4700.0
simplecov-ruby,simplecov,https://github.com/simplecov-ruby/simplecov,4300.0
phpro,grumphp,https://github.com/phpro/grumphp,3500.0
pmd,pmd,https://github.com/pmd/pmd,3400.0
PyCQA,pylint,https://github.com/PyCQA/pylint,3400.0
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,3300.0
htmlhint,HTMLHint,https://github.com/htmlhint/HTMLHint,2600.0
codeclimate,codeclimate,https://github.com/codeclimate/codeclimate,2200.0
kucherenko,jscpd,https://github.com/kucherenko/jscpd,2100.0
trekhleb,state-of-the-art-shitcode,https://github.com/trekhleb/state-of-the-art-shitcode,1800.0
uber,piranha,https://github.com/uber/piranha,1700.0
wemake-services,wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide,1500.0
ehmicky,cross-platform-node-guide,https://github.com/ehmicky/cross-platform-node-guide,1200.0
urish,typewiz,https://github.com/urish/typewiz,1100.0
Tencent,feflow,https://github.com/Tencent/feflow,
jakzal,phpqa,https://github.com/jakzal/phpqa,
joshuaclayton,unused,https://github.com/joshuaclayton/unused,
SonarSource,SonarTS,https://github.com/SonarSource/SonarTS,
bufferapp,android-guidelines,https://github.com/bufferapp/android-guidelines,
dabutvin,Imgbot,https://github.com/dabutvin/Imgbot,
pdepend,pdepend,https://github.com/pdepend/pdepend,
SonarSource,SonarJS,https://github.com/SonarSource/SonarJS,
grodowski,undercover,https://github.com/grodowski/undercover,
maglnet,ComposerRequireChecker,https://github.com/maglnet/ComposerRequireChecker,
dodie,vim-disapprove-deep-indentation,https://github.com/dodie/vim-disapprove-deep-indentation,
