username,repo_name,stars,repo_url
ovity,octotree,https://github.com/ovity/octotree,21300.0
danger,danger,https://github.com/danger/danger,4500.0
gitpod-io,gitpod,https://github.com/gitpod-io/gitpod,4100.0
danger,danger-js,https://github.com/danger/danger-js,3800.0
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,3300.0
joho,awesome-code-review,https://github.com/joho/awesome-code-review,2800.0
houndci,hound,https://github.com/houndci/hound,1900.0
mbj,mutant,https://github.com/mbj/mutant,1700.0
ajinabraham,nodejsscan,https://github.com/ajinabraham/nodejsscan,1700.0
microsoft,vscode-pull-request-github,https://github.com/microsoft/vscode-pull-request-github,1600.0
crev-dev,cargo-crev,https://github.com/crev-dev/cargo-crev,1400.0
reviewboard,reviewboard,https://github.com/reviewboard/reviewboard,1300.0
bit4woo,python_sec,https://github.com/bit4woo/python_sec,
ryanmcdermott,code-review-tips,https://github.com/ryanmcdermott/code-review-tips,
code-review-checklists,java-concurrency,https://github.com/code-review-checklists/java-concurrency,
jiangsir404,Audit-Learning,https://github.com/jiangsir404/Audit-Learning,
TeamCodeStream,codestream,https://github.com/TeamCodeStream/codestream,
enlightn,enlightn,https://github.com/enlightn/enlightn,
uwolfer,gerrit-intellij-plugin,https://github.com/uwolfer/gerrit-intellij-plugin,
palantir,policy-bot,https://github.com/palantir/policy-bot,
bsamseth,cpp-project,https://github.com/bsamseth/cpp-project,
mookid,diffr,https://github.com/mookid/diffr,
sjparkinson,static-review,https://github.com/sjparkinson/static-review,
dpnishant,raptor,https://github.com/dpnishant/raptor,
burrito-brothers,shiba,https://github.com/burrito-brothers/shiba,
mgreiler,code-review-checklist,https://github.com/mgreiler/code-review-checklist,
charignon,github-review,https://github.com/charignon/github-review,
src-d,lookout,https://github.com/src-d/lookout,
uwolfer,gerrit-rest-java-client,https://github.com/uwolfer/gerrit-rest-java-client,
thesp0nge,owasp-orizon,https://github.com/thesp0nge/owasp-orizon,
