username,repo_name,stars,repo_url
httpie,httpie,https://github.com/httpie/httpie,51000
junegunn,fzf,https://github.com/junegunn/fzf,37100
sharkdp,bat,https://github.com/sharkdp/bat,27400
wagoodman,dive,https://github.com/wagoodman/dive,26400
sherlock-project,sherlock,https://github.com/sherlock-project/sherlock,25400
BurntSushi,ripgrep,https://github.com/BurntSushi/ripgrep,25400
chubin,cheat.sh,https://github.com/chubin/cheat.sh,24700
angular,angular-cli,https://github.com/angular/angular-cli,24600
cli,cli,https://github.com/cli/cli,23600
spf13,cobra,https://github.com/spf13/cobra,21800
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,21500
jesseduffield,lazygit,https://github.com/jesseduffield/lazygit,20100
google,python-fire,https://github.com/google/python-fire,19200
avajs,ava,https://github.com/avajs/ava,19100
tqdm,tqdm,https://github.com/tqdm/tqdm,18500
vercel,pkg,https://github.com/vercel/pkg,18200
sharkdp,fd,https://github.com/sharkdp/fd,17500
chalk,chalk,https://github.com/chalk/chalk,16500
vadimdemedes,ink,https://github.com/vadimdemedes/ink,16300
svg,svgo,https://github.com/svg/svgo,16200
urfave,cli,https://github.com/urfave/cli,15900
gpakosz,.tmux,https://github.com/gpakosz/.tmux,14200
n8n-io,n8n,https://github.com/n8n-io/n8n,14100
FormidableLabs,webpack-dashboard,https://github.com/FormidableLabs/webpack-dashboard,13800
allinurl,goaccess,https://github.com/allinurl/goaccess,13300
infinitered,ignite,https://github.com/infinitered/ignite,12600
pomber,git-history,https://github.com/pomber/git-history,12500
jarun,nnn,https://github.com/jarun/nnn,11600
pallets,click,https://github.com/pallets/click,10900
asdf-vm,asdf,https://github.com/asdf-vm/asdf,10900
