username,repo_name,stars,repo_url
vercel,next.js,https://github.com/vercel/next.js,68300
webpack,webpack,https://github.com/webpack/webpack,58400
rust-lang,rust,https://github.com/rust-lang/rust,55700
gatsbyjs,gatsby,https://github.com/gatsbyjs/gatsby,50400
sveltejs,svelte,https://github.com/sveltejs/svelte,47500
babel,babel,https://github.com/babel/babel,39200
parcel-bundler,parcel,https://github.com/parcel-bundler/parcel,38500
JetBrains,kotlin,https://github.com/JetBrains/kotlin,36700
markedjs,marked,https://github.com/markedjs/marked,25100
evanw,esbuild,https://github.com/evanw/esbuild,24900
vlang,v,https://github.com/vlang/v,23900
vercel,pkg,https://github.com/vercel/pkg,18200
v8,v8,https://github.com/v8/v8,17700
swc-project,swc,https://github.com/swc-project/swc,12300
Konloch,bytecode-viewer,https://github.com/Konloch/bytecode-viewer,12100
AssemblyScript,assemblyscript,https://github.com/AssemblyScript/assemblyscript,12000
nim-lang,Nim,https://github.com/nim-lang/Nim,11400
gopherjs,gopherjs,https://github.com/gopherjs/gopherjs,10200
ziglang,zig,https://github.com/ziglang/zig,9400
compiler-explorer,compiler-explorer,https://github.com/compiler-explorer/compiler-explorer,8700
JetBrains,kotlin-native,https://github.com/JetBrains/kotlin-native,7100
apache,tvm,https://github.com/apache/tvm,6700
numba,numba,https://github.com/numba/numba,6600
elm,compiler,https://github.com/elm/compiler,6400
aalhour,awesome-compilers,https://github.com/aalhour/awesome-compilers,6000
lebab,lebab,https://github.com/lebab/lebab,5400
DoctorWkt,acwj,https://github.com/DoctorWkt/acwj,5300
rescript-lang,rescript-compiler,https://github.com/rescript-lang/rescript-compiler,5300
lampepfl,dotty,https://github.com/lampepfl/dotty,4600
enso-org,enso,https://github.com/enso-org/enso,4600
