username,repo_name,stars,repo_url
drone,drone,https://github.com/drone/drone,23300
jenkinsci,jenkins,https://github.com/jenkinsci/jenkins,17400
auchenberg,volkswagen,https://github.com/auchenberg/volkswagen,11500
openshift,origin,https://github.com/openshift/origin,7900
gocd,gocd,https://github.com/gocd/gocd,6100
concourse,concourse,https://github.com/concourse/concourse,5700
buildbot,buildbot,https://github.com/buildbot/buildbot,4600
Strider-CD,strider,https://github.com/Strider-CD/strider,4500
gaia-pipeline,gaia,https://github.com/gaia-pipeline/gaia,4400
jenkins-x,jx,https://github.com/jenkins-x/jx,3900
theonedev,onedev,https://github.com/theonedev/onedev,3800
hygieia,hygieia,https://github.com/hygieia/hygieia,3600
xcpretty,xcpretty,https://github.com/xcpretty/xcpretty,3600
ovh,cds,https://github.com/ovh/cds,3400
cake-build,cake,https://github.com/cake-build/cake,2900
ligurio,awesome-ci,https://github.com/ligurio/awesome-ci,2600
dancryer,PHPCI,https://github.com/dancryer/PHPCI,2400
werf,werf,https://github.com/werf/werf,2400
tox-dev,tox,https://github.com/tox-dev/tox,2200
dreamans,syncd,https://github.com/dreamans/syncd,1900
TheLartians,ModernCppStarter,https://github.com/TheLartians/ModernCppStarter,1900
houndci,hound,https://github.com/houndci/hound,1900
fabric8io,fabric8,https://github.com/fabric8io/fabric8,1800
shivammathur,setup-php,https://github.com/shivammathur/setup-php,1600
lastbackend,lastbackend,https://github.com/lastbackend/lastbackend,1500
nuke-build,nuke,https://github.com/nuke-build/nuke,1200
FlowCI,flow-core-x,https://github.com/FlowCI/flow-core-x,1200
japaric,trust,https://github.com/japaric/trust,1100
bmitch,churn-php,https://github.com/bmitch/churn-php,1100
Piplin,Piplin,https://github.com/Piplin/Piplin,1000
